search_title,database,result_title,authors,citation,venue,abstract,keywords
Static analysis of model transformations for effective test generation,ieeexplore,Static analysis of model transformations for effective test generation,"Mottu, Jean-Marie, Sagar Sen, Massimo Tisi, and Jordi Cabot",23," In <i>Software Reliability Engineering (ISSRE), 2012 IEEE 23rd International Symposium on</i>, pp. 291-300. IEEE, 2012.","Model transformations are an integral part of several computing systems that manipulate interconnected graphs of objects called models in an input domain specified by a metamodel and a set of invariants. Test models are used to look for faults in a transformation. A test model contains a specific set of objects, their interconnections and values for their attributes. Can we automatically generate an effective set of test models using knowledge from the transformation? We present a white-box testing approach that uses static analysis to guide the automatic generation of test inputs for transformations. Our static analysis uncovers knowledge about how the input model elements are accessed by transformation operations. This information is called the input metamodel footprint due to the transformation. We transform footprint, input metamodel, its invariants, and transformation pre-conditions to a constraint satisfaction problem in Alloy. We solve the problem to generate sets of test models containing traces of the footprint. Are these test models effective? With the help of a case study transformation we evaluate the effectiveness of these test inputs. We use mutation analysis to show that the test models generated from footprints are more effective (97.62% avg. mutation score) in detecting faults than previously developed approaches based on input domain coverage criteria (89.9% avg.) and unguided generation (70.1% avg.).","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation Analysis.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation Analysis</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.White Box Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">White Box Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Model-Driven Engineering.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Model-Driven Engineering</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Model Transformation Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Model Transformation Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Alloy.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Alloy</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Automatic Model Completion.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Automatic Model Completion</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Automatic mutation test case generation via dynamic symbolic execution,ieeexplore,Automatic mutation test case generation via dynamic symbolic execution,"Papadakis, Mike, and Nicos Malevris",71," In <i>Software reliability engineering (ISSRE), 2010 IEEE 21st international symposium on</i>, pp. 121-130. IEEE, 2010.","The automatic test case generation is the principal issue of the software testing activity. Dynamic symbolic execution appears to be a promising approach to this matter as it has been shown to be quite powerful in producing the sought tests. Despite its power, it has only been effectively applied to the entry level criteria of the structural criteria hierarchy such as branch testing. In this paper an extension of this technique is proposed in order to effectively generate test data based on mutation testing. The proposed approach conjoins program transformation and dynamic symbolic execution techniques in order to successfully automate the test generation process. The propositions made in this paper have been incorporated into an automated framework for producing mutation based test cases. Its evaluation on a set of benchmark programs suggests that it is able to produce tests capable of killing most of the non equivalent introduced mutants. The same study also provides some evidence that by employing efficient heuristics it can be possible to perform mutation with reasonable resources.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutant schemata.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutant schemata</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.automated test case generation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">automated test case generation</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.dynamic symbolic execution.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">dynamic symbolic execution</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
"Automatically performing weak mutation with the aid of symbolic execution, concolic testing and search-based testing",Springer,"Automatically Performing Weak Mutation with the Aid of: Symbolic Execution, Concolic and Search Based Testing1","Papadakis, Mike, and Nicos Malevris",33,,"<h2 class=""Heading"">Abstract</h2><p class=""Para"">Automating software testing activities can increase the quality and drastically decrease the cost of software development. Toward this direction, various automated test data generation tools have been developed. The majority of existing tools aim at structural testing, while a quite limited number aim at a higher level of testing thoroughness such as mutation. In this paper, an attempt toward automating the generation of mutation-based test cases by utilizing existing automated tools is proposed. This is achieved by reducing the killing mutants’ problem into a covering branches one. To this extent, this paper is motivated by the use of state of the art techniques and tools suitable for covering program branches when performing mutation. Tools and techniques such as symbolic execution, concolic execution, and evolutionary testing can be easily adopted toward automating the test input generation activity for the weak mutation testing criterion by simply utilizing a special form of the mutant schemata technique. The propositions made in this paper integrate three automated tools in order to illustrate and examine the method’s feasibility and effectiveness. The obtained results, based on a set of Java program units, indicate the applicability and effectiveness of the suggested technique. The results advocate that the proposed approach is able to guide existing automating tools in producing test cases according to the weak mutation testing criterion. Additionally, experimental results with the proposed mutation testing regime show that weak mutation is able to speedup the mutant execution time by at least 4.79 times when compared with strong mutation.</p>","<h3 class=""Heading"">Keywords</h3><span class=""Keyword"">Mutation testing&nbsp;</span><span class=""Keyword"">Weak mutation&nbsp;</span><span class=""Keyword"">Automated test case generation&nbsp;</span><span class=""Keyword"">Mutant schemata&nbsp;</span><span class=""Keyword"">Symbolic execution&nbsp;</span><span class=""Keyword"">Concolic execution&nbsp;</span><span class=""Keyword"">Search-based testing&nbsp;</span>"
Mutation based test case generation via a path selection strategy,Elsevier,Mutation based test case generation via a path selection strategy,"Papadakis, Mike, and Nicos Malevris",43," <i>Information and Software Technology</i> 54, no. 9 (2012): 915-932.","<h2 class=""secHeading"" id=""author1"">Abstract</h2><h4 id=""absSec_1"">Context</h4><p id=""sp005"">Generally, mutation analysis has been identified as a powerful testing method. Researchers have shown that its use as a testing criterion exercises quite thoroughly the system under test while it achieves to reveal more faults than standard structural testing criteria. Despite its potential, mutation fails to be adopted in a widespread practical use and its popularity falls significantly short when compared with other structural methods. This can be attributed to the lack of thorough studies dealing with the practical problems introduced by mutation and the assessment of the effort needed when applying it. Such an incident, masks the real cost involved preventing the development of easy and effective to use strategies to circumvent this problem.</p><h4 id=""absSec_2"">Objective</h4><p id=""sp010"">In this paper, a path selection strategy for selecting test cases able to effectively kill mutants when performing weak mutation testing is presented and analysed.</p><h4 id=""absSec_3"">Method</h4><p id=""sp015"">The testing effort is highly correlated with the number of attempts the tester makes in order to generate adequate test cases. Therefore, a significant influence on the efficiency associated with a test case generation strategy greatly depends on the number of candidate paths selected in order to achieve a predefined coverage goal. The effort can thus be related to the number of infeasible paths encountered during the test case generation process.</p><h4 id=""absSec_4"">Results</h4><p id=""sp020"">An experiment, investigating well over 55 million of program paths is conducted based on a strategy that alleviates the effects of infeasible paths. Strategy details, along with a prototype implementation are reported and analysed through the experimental results obtained by its employment to a set of program units.</p><h4 id=""absSec_5"">Conclusion</h4><p id=""sp025"">The results obtained suggest that the strategy used can play an important role in making the mutation testing method more appealing and practical.</p>","<li id="""" class=""svKeywords""><span id="""">Software testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Unit testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Mutation testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Path testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Adequacy criterion</span>; </li><li id="""" class=""svKeywords""><span id="""">Infeasible paths</span></li>"
"Using mutants to locate ""unknown"" faults",ieeexplore,Using mutants to locat,"Papadakis, Mike, and Yves Le Traon",32, unknown,"Many fault localization techniques operate by crosscutting coverage information of passed and failed test executions. Generally, their accuracy depends on the utilized coverage elements and on the selected test cases. This paper proposes a novel fault localization method using mutation and investigates its accuracy when using classical test selection criteria such as mutation, branch and block. A controlled experiment shows that (1) the mutation based approach is quite effective at identifying ""unknown"" faulty program statements. Additionally, the experimental results reveal (2) that the mutation-based test suites are significantly more effective at supporting fault localization than block or branch-based test suites. Further, (3) evidence in support of facilitating mutation alternatives, such as mutant sampling, in order to diminish mutation overheads is also given.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.fault localization.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">fault localization</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.debugging.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">debugging</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation analysis.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation analysis</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Sampling program inputs with mutation analysis: Going beyond combinatorial interaction testing,ieeexplore,Sampling program inputs with mutation analysis: Going beyond combinatorial interaction testing,"Papadakis, Mike, Christopher Henard, and Yves Le Traon",18," In <i>Software Testing, Verification and Validation (ICST), 2014 IEEE Seventh International Conference on</i>, pp. 1-10. IEEE, 2014.","Modern systems tend to be highly configurable. Testing such systems requires selecting test cases from a large input space. Thus, there is a need to systematically sample program inputs in order to reduce the testing effort. In such cases, testing the interactions between program parameters has been identified as an effective way to deal with this problem. In these lines, Combinatorial Interaction Testing (CIT) models the program input interactions and uses this model to select test cases. Going a step further, we apply mutation analysis on the CIT input model to select program test cases. Mutation operates by injecting defects to the program input model and measures the number of defects found by the selected test cases. Experiments performed on four real programs show that measuring the number of model-based defects gives a stronger correlation to code-level faults than measuring the number of the exercised interactions. Therefore, the proposed mutation analysis approach forms a valid and more effective alternative to CIT.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Fault Detection.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Fault Detection</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation Analysis.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation Analysis</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Combinatorial Interaction Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Combinatorial Interaction Testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Metallaxis-FL: mutation-based fault localization,Wiley Online Library,Metallaxis‐FL: mutation‐based fault localization,"Papadakis, Mike, and Yves Le Traon",38," <i>Software Testing, Verification and Reliability</i> 25, no. 5-7 (2015): 605-628.","Fault localization methods seek to identify faulty program statements based on the information provided by the failing and passing test executions. Spectrum-based methods are among the most popular ones and assist programmers by assigning suspiciousness values on program statements according to their probability of being faulty. This paper proposes Metallaxis, a fault localization approach based on mutation analysis. The innovative part of Metallaxis is that it uses mutants and links them with the faulty program places. Thus, mutants that are killed mostly by failing tests provide a good indication about the location of a fault. Experimentation using Metallaxis suggests that it is significantly more effective than statement-based approaches. This is true even in the case where mutation cost-reduction techniques, such as mutant sampling, are facilitated. Additionally, results from a controlled experiment show that the use of mutation as a testing technique provides benefits to the fault localization process. Therefore, fault localization is significantly improved by using mutation-based tests instead of block-based or branch-based test suites. Finally, evidence in support of the methods’ scalability is also given.","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">debugging; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation analysis; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">fault localization</span></li>"
Model-based tests for access control policies,ieeexplore,Model-based tests for access control policies,"Pretschner, Alexander, Tejeddine Mouelhi, and Yves Le Traon",71," In <i>Software Testing, Verification, and Validation, 2008 1st International Conference on</i>, pp. 338-347. IEEE, 2008.","We present a model-based approach to testing access control requirements. By using combinatorial testing, we first automatically generate test cases from and without access control policies—i.e., the model—and assess the effectiveness of the test suites by means of mutation testing. We also compare them to purely random tests. For some of the investigated strategies, non-random tests kill considerably more mutants thanthe same number of random tests. Since we rely on policies only, no information on the application is required at this stage. As a consequence, our methodology applies to arbitrary implementations of the policy decision points.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Combinatorial Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Combinatorial Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Access Control.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Access Control</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Model-Based Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Model-Based Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation Testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Assessing oracle quality with checked coverage,ieeexplore,Assessing oracle quality with checked coverage,"Schuler, David, and Andreas Zeller",34," In <i>Software Testing, Verification and Validation (ICST), 2011 IEEE Fourth International Conference on</i>, pp. 90-99. IEEE, 2011.","A known problem of traditional coverage metrics is that they do not assess oracle quality - that is, whether the computation result is actually checked against expectations. In this paper, we introduce the concept of checked coverage - the dynamic slice of covered statements that actually influence an oracle. Our experiments on seven open-source projects show that checked coverage is a sure indicator for oracle quality - and even more sensitive than mutation testing, its much more demanding alternative.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.test suite quality.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">test suite quality</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.coverage metrics.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">coverage metrics</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.dynamic slicing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">dynamic slicing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Checked coverage: an indicator for oracle quality,Wiley Online Library,Checked coverage: an indicator for oracle quality,"Schuler, David, and Andreas Zeller",11," <i>Software Testing, Verification and Reliability</i> 23, no. 7 (2013): 531-551.","<div class=""article-section__content mainAbstract""><h2 class=""article-section__header"">SUMMARY</h2><p>A known problem of traditional coverage metrics is that they do not assess <em>oracle quality</em>—that is, whether the computation result is actually checked against expectations. In this paper, we introduce the concept of <em>checked coverage</em>—the dynamic slice of covered statements that actually influence an oracle. Our experiments on seven open-source projects show that checked coverage is a sure indicator for oracle quality and even more sensitive than mutation testing. Copyright © 2013 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">test suite quality; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">coverage metrics; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">dynamic slicing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation testing</span></li>"
Artificial neural networks as multi-networks automated test oracle,Springer,Artificial neural networks as multi-networks automated test oracle,"Shahamiri, Seyed Reza, Wan MN Wan-Kadir, Suhaimi Ibrahim, and Siti Zaiton Mohd Hashim",15," <i>Automated Software Engineering</i> 19, no. 3 (2012): 303-334.","<h2 class=""Heading"">Abstract</h2><p class=""Para"">One of the important issues in software testing is to provide an automated test oracle. Test oracles are reliable sources of how the software under test must operate. In particular, they are used to evaluate the actual results produced by the software. However, in order to generate an automated test oracle, it is necessary to map the input domain to the output domain automatically. In this paper, Multi-Networks Oracles based on Artificial Neural Networks are introduced to handle the mapping automatically. They are an enhanced version of previous ANN-Based Oracles. The proposed model was evaluated by a framework provided by mutation testing and applied to test two industry-sized case studies. In particular, a mutated version of each case study was provided and injected with some faults. Then, a fault-free version of it was developed as a Golden Version to evaluate the capability of the proposed oracle finding the injected faults. Meanwhile, the quality of the proposed oracle is measured by assessing its accuracy, precision, misclassification error and recall. Furthermore, the results of the proposed oracle are compared with former ANN-based Oracles. Accuracy of the proposed oracle was up to 98.93%, and the oracle detected up to 98% of the injected faults. The results of the study show the proposed oracle has better quality and applicability than the previous model.</p>","<h3 class=""Heading"">Keywords</h3><span class=""Keyword"">Automated software testing&nbsp;</span><span class=""Keyword"">Software test oracle&nbsp;</span><span class=""Keyword"">Artificial neural networks&nbsp;</span><span class=""Keyword"">Mutation testing&nbsp;</span>"
On guiding the augmentation of an automated test suite via mutation analysis,Springer,On guiding the augmentation of an automated test suite via mutation analysis,"Smith, Ben H., and Laurie Williams",39," <i>Empirical Software Engineering</i> 14, no. 3 (2009): 341-369.","<h2 class=""Heading"">Abstract</h2><p class=""Para"">Mutation testing has traditionally been used as a defect injection technique to assess the effectiveness of a test suite as represented by a “mutation score.” Recently, mutation testing tools have become more efficient, and industrial usage of mutation analysis is experiencing growth. Mutation analysis entails adding or modifying test cases until the test suite is sufficient to detect as many mutants as possible and the mutation score is satisfactory. The augmented test suite resulting from mutation analysis may reveal latent faults and provides a stronger test suite to detect future errors which might be injected. Software engineers often look for guidance on how to augment their test suite using information provided by line and/or branch coverage tools. As the use of mutation analysis grows, software engineers will want to know how the emerging technique compares with and/or complements coverage analysis for guiding the augmentation of an automated test suite. Additionally, software engineers can benefit from an enhanced understanding of efficient mutation analysis techniques. To address these needs for additional information about mutation analysis, we conducted an empirical study of the use of mutation analysis on two open source projects. Our results indicate that a focused effort on increasing mutation score leads to a corresponding increase in line and branch coverage to the point that line coverage, branch coverage and mutation score reach a maximum but leave some types of code structures uncovered. Mutation analysis guides the creation of additional “common programmer error” tests beyond those written to increase line and branch coverage. We also found that 74% of our chosen set of mutation operators is useful, on average, for producing new tests. The remaining 26% of mutation operators did not produce new test cases because their mutants were immediately detected by the initial test suite, indirectly detected by test suites we added to detect other mutants, or were not able to be detected by any test.</p>","<h3 class=""Heading"">Keywords</h3><span class=""Keyword"">Mutation testing&nbsp;</span><span class=""Keyword"">Line coverage&nbsp;</span><span class=""Keyword"">Fault injection&nbsp;</span><span class=""Keyword"">Empirical effectiveness&nbsp;</span><span class=""Keyword"">Test case augmentation&nbsp;</span><span class=""Keyword"">Mutation analysis&nbsp;</span><span class=""Keyword"">Mutation testing tool&nbsp;</span><span class=""Keyword"">Statement coverage&nbsp;</span><span class=""Keyword"">Test adequacy&nbsp;</span><span class=""Keyword"">Web application&nbsp;</span><span class=""Keyword"">Open source&nbsp;</span><span class=""Keyword"">Unit testing&nbsp;</span>"
Should software testers use mutation analysis to augment a test set?,Elsevier,Should software testers use mutation analysis to augment a test set?,"Smith, Ben H., and Laurie Williams",25," <i>Journal of Systems and Software</i> 82, no. 11 (2009): 1819-1832.","<h2 class=""secHeading"" id=""author1"">Abstract</h2><p id="""">Mutation testing has historically been used to assess the fault-finding effectiveness of a test suite or other verification technique. Mutation analysis, rather, entails augmenting a test suite to detect all killable mutants. Concerns about the time efficiency of mutation analysis may prohibit its widespread, practical use. <em>The goal of our research is to assess the effectiveness of the mutation analysis process when used by software testers to augment a test suite to obtain higher statement coverage scores.</em> We conducted two empirical studies and have shown that mutation analysis can be used by software testers to effectively produce new test cases and to improve statement coverage scores in a feasible amount of time. Additionally, we find that our user study participants view mutation analysis as an effective but relatively expensive technique for writing new test cases. Finally, we have shown that the choice of mutation tool and operator set can play an important role in determining how efficient mutation analysis is for producing new test cases.</p>","<li id="""" class=""svKeywords""><span id="""">Mutation testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Empirical effectiveness</span>; </li><li id="""" class=""svKeywords""><span id="""">User study</span>; </li><li id="""" class=""svKeywords""><span id="""">Mutation analysis</span>; </li><li id="""" class=""svKeywords""><span id="""">Test adequacy</span>; </li><li id="""" class=""svKeywords""><span id="""">Web application</span>; </li><li id="""" class=""svKeywords""><span id="""">Open source</span>; </li><li id="""" class=""svKeywords""><span id="""">Unit testing</span>; </li><li id="""" class=""svKeywords""><span id="""">Mutation testing tool</span></li>"
"Automated oracle creation support, or: how I learned to stop worrying about fault propagation and love mutation testing",acm,"Automated oracle creation support, or: how I learned to stop worrying about fault propagation and love mutation testing","Staats, Matt, Gregory Gay, and Mats PE Heimdahl",49," In <i>Proceedings of the 34th International Conference on Software Engineering</i>, pp. 870-880. IEEE Press, 2012.","
<div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"" class=""tabbody"">

             <div style=""display:inline""><p> In testing, the test oracle is the artifact that determines whether an application under test executes correctly. The choice of test oracle can significantly impact the effectiveness of the testing process. However, despite the prevalence of tools that support the selection of test inputs, little work exists for supporting oracle creation. In this work, we propose a method of supporting test oracle creation. This method automatically selects the oracle data â the set of variables monitored during testingâfor expected value test oracles. This approach is based on the use of mutation analysis to rank variables in terms of fault-finding effectiveness, thus automating the selection of the oracle data. Experiments over four industrial examples demonstrate that our method may be a cost-effective approach for producing small, effective oracle data, with fault finding improvements over current industrial best practice of up to 145.8% observed. </p></div> 
            

            </div>
          ",
