,search_title,database,result_title,authors,citation,venue,abstract,keywords
-1,Interface Mutation,ieeexplore,Interface mutation test adequacy criterion: An empirical evaluation,"Delamaro, Márcio Eduardo, José Carlos Maldonado, Alberto Pasquini, and Aditya P. Mathur",262," <i>Empirical Software Engineering</i> 6, no. 2 (2001): 111-142.","The need for test adequacy criteria is widely recognized. Several criteria have been proposed for the assessment of adequacy of tests at the unit level. However, there remains a lack of criteria for the assessment of the adequacy of tests generated during integration testing. We present a mutation based interprocedural criterion, named Interface Mutation (IM), suitable for use during integration testing. A case study to evaluate the proposed criterion is reported. In the study, the UNIX sort utility was seeded with errors and Interface Mutation evaluated by measuring the cost of its application and its error revealing effectiveness. Alternative IM criteria using different sets of Interface Mutation operators were also evaluated. While comparing the error revealing effectiveness of these Interface Mutation-based test sets with same size randomly generated test sets, we observed that in most cases Interface Mutation based test sets are superior. The results suggest that Interface Mutation offers a viable test adequacy criteria for use at the integration level.",
-1,An Integrated System for Program Testing Using Weak Mutation and Data Flow Analysis,acm,An integrated system for program testing using weak mutation and data flow analysis,"Girgis, Moheb R., and Martin R. Woodward",75," In <i>Proceedings of the 8th international conference on Software engineering</i>, pp. 313-319. IEEE Computer Society Press, 1985.","
<div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"" class=""tabbody"">

             <div style=""display:inline""><par>The idea of weak mutation testing is to construct test data which would force program components such as expressions and variable references to produce a wrong 'result' if they were to contain certain types of error, for example, off-by-a-constant or wrong-variable. The idea of data flow driven testing is to construct test data which forces the execution of different interactions between variable definitions and references in a program.</par>
<par>This paper describes a tool for FORTRAN 77 programs which has been developed to help a user apply the weak mutation and data flow testing techniques. The tool instruments a given source program and collects a program execution history. It is then able to report on the completeness of the test data with respect to weak mutation and a family of data flow path selection criteria. Some preliminary experiments with use of the tool are described.</par>
</div> 
            

            </div>
          ",
-1,DART: Directed Automated Random Testing,acm,DART: Directed Automated Random Testing,"Sen, Koushik",2088," In <i>Haifa Verification Conference</i>, vol. 6405, p. 4. 2009.","
<div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"" class=""tabbody"">

             <div style=""display:inline"">We present a new tool, named DART, for automatically testing software that combines three main techniques: (1) <i>automated</i> extraction of the interface of a program with its external environment using static source-code parsing; (2) automatic generation of a test driver for this interface that performs <i>random</i> testing to simulate the most general environment the program can operate in; and (3) dynamic analysis of how the program behaves under random testing and automatic generation of new test inputs to <i>direct</i> systematically the execution along alternative program paths. Together, these three techniques constitute <i>Directed Automated Random Testing</i>, or <i>DART</i> for short. The main strength of DART is thus that testing can be performed <i>completely automatically</i> on any program that compiles -- there is no need to write any test driver or harness code. During testing, DART detects standard errors such as program crashes, assertion violations, and non-termination. Preliminary experiments to unit test several examples of C programs are very encouraging.</div> 
            

            </div>
          ",automated test generation; interfaces; program verification; random testing; software testing
?,Program Testing by Specification Mutation,Elsevier,Program testing by specification mutation,"Budd, Timothy A., and Ajei S. Gopal",70," <i>Computer languages</i> 10, no. 1 (1985): 63-73.",,<span>Testing</span>
-1,The Impact of Equivalent Mutants,ieeexplore,The impact of equivalent mutants,"Grün, Bernhard JM, David Schuler, and Andreas Zeller",97," In <i>Software Testing, Verification and Validation Workshops, 2009. ICSTW'09. International Conference on</i>, pp. 192-199. IEEE, 2009.","If a mutation is not killed by a test suite, this usuallymeans that the test suite is not adequate. However, itmay also be that the mutant keeps the program’s seman-tics unchanged—and thus cannot be detected by any test.We found such equivalent mutants to be surprisingly com-mon: In an experiment on the JAXEN XPATH query engine,8/20 = 40% of all mutations turned out to be equivalent.Worse, checking the equivalency took us 15 minutes for asingle mutation. Equivalent mutants thus make it impossi-ble to automatically assess test suites by means of mutationtesting. To identify equivalent mutants, we are currently investi-gating the impact of a mutation on the execution: the morea mutation alters the execution, the higher the chance of itbeing non-equivalent. First experiments assessing the im-pact on code coverage are promising.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.code coverage.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">code coverage</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.equivalent mutants.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">equivalent mutants</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,Testing Programs with the Aid of a Compiler,ieeexplore,Testing programs with the aid of a compiler,"Hamlet, Richard G",479, <i>IEEE Transactions on Software engineering</i> 4 (1977): 279-290.,"if finite input-output specifications are added to the syntax of programs, these specifications can be verified at compile time. Programs which carry adequate tests with them in this way should be resistant to maintenance errors. If the specifications are independent of program details they are easy to give, and unlikely to contain errors in common with the program. Furthermore, certain finite specifications are maximal in that they exercise the control and expression structure of a program as well as any tests can.",
？,The Relationship between Program Dependence and Mutation Analysis,Springer,The relationship between program dependence and mutation analysis,"Harman, Mark, Rob Hierons, and Sebastian Danicic",44," In <i>Mutation testing for the new century</i>, pp. 5-13. Springer US, 2001.","
                          <h2 class=""Heading"">Abstract</h2>
                          <div class=""Para"">This paper presents some connections between dependence anal­ysis and mutation testing. Specifically, dependence analysis can be applied to two problems in mutation testing, captured by the questions:
            <div class=""OrderedList""><ol><li class=""ListItem""><span class=""ItemNumber"">1.</span><div class=""ItemContent"">
                                  <p class=""Para"">How do we avoid the creation of equivalent mutants?</p>
                                </div><div class=""ClearBoth"">&nbsp;</div></li><li class=""ListItem""><span class=""ItemNumber"">2.</span><div class=""ItemContent"">
                                  <p class=""Para"">How do we generate test data that kills non-equivalent mu­tants?</p>
                                </div><div class=""ClearBoth"">&nbsp;</div></li></ol></div>
                          </div>
                          <p class=""Para"">The theoretical connections described here suggest ways in which a dependence analysis tool might be used, in combination with existing tools for mutation testing, for test-data generation and equivalent-mutant detection.</p>
                          <p class=""Para"">In this paper the variable orientated, fine grained dependence framework of Jackson and Rollins is used to achieve these two goals. Yhis framework of dependence analysis appears to be better suited to mutation testing than the more traditional, Program Dependence Graph (PDG) approach, used in slicing and other forms of program analysis.</p>
                          <p class=""Para"">The relationship between dependence analysis and muataion testing is used to defined an augmented mutation testing process, with starts and ends with dependence analysis phases. The pre-analysis removes a class of equivalent mutants from further analysis, while the post-analysis phase is used to simplify the human effort required ti study the few mutants that evade the automated phases of the process.</p>
                        ","
                          <h3 class=""Heading"">Keywords</h3>
                          <span class=""Keyword"">Slicing</span>
                          <span class=""Keyword"">Dependence Analysis</span>
                          <span class=""Keyword"">Test Data Generation</span>
                          <span class=""Keyword"">Equivalent Mutant Detection</span>
                        "
-1,Using Program Slicing to Assist in the Detection of Equivalent Mutants,Wiley Online Library,Using program slicing to assist in the detection of equivalent mutants,"Hierons, Rob, Mark Harman, and Sebastian Danicic",196," <i>Software Testing, Verification and Reliability</i> 9, no. 4 (1999): 233-262.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>While mutation testing has proved to be an effective way of finding software faults, currently it is only applied to relatively small programs. One of the main reasons for this is the human analysis required in detecting equivalent mutants. Here program slicing is used to simplify this problem. Progam slicing is also used to reduce the number of equivalent mutants produced. Copyright © 1999 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">program slicing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">equivalent mutants; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">stubborn mutants</span></li>"
-1,Mutation Testing from Probabilistic Finite State Machines,ieeexplore,Mutation testing from probabilistic finite state machines,"Hierons, Robert M., and Mercedes G. Merayo",26," In <i>Testing: Academic and Industrial Conference Practice and Research Techniques-MUTATION, 2007. TAICPART-MUTATION 2007</i>, pp. 141-150. IEEE, 2007.","Mutation testing traditionally involves mutating a program in order to produce a set of mutants and using these mutants in order to either estimate the effectiveness of a test suite or to drive test generation. Recently, however, this approach has been applied to specifications such as those written as finite state machines. This paper extends mutation testing to finite state machine models in which transitions have associated probabilities. The paper describes several ways of mutating a probabilistic finite state machine (PFSM) and shows how test sequences that distinguish between a PFSM and its mutants can be generated. Testing then involves applying each test sequence multiple times, observing the resultant output sequences and using results from statistical sampling theory in order to compare the observed frequency of each output sequence with that expected.",
1,Mutation Testing from Probabilistic and Stochastic Finite State Machines,Elsevier,Mutation testing from probabilistic and stochastic finite state machines,"Hierons, Robert M., and Mercedes G. Merayo",37," <i>Journal of Systems and Software</i> 82, no. 11 (2009): 1804-1818.",,<span>Mutation testing</span>
-1,Weak Mutation is Probably Strong Mutation,"JR Horgan, <a href=""/citations?user=DdQMeHoAAAAJ&amp;hl=en&amp;oi=sra"">AP Mathur</a> - Purdue University, West Lafayette, Indiana, Technical  …, 1990",Weak mutation is probably strong mutation,"Horgan, J. Robert, and Aditya P. Mathur",36," <i>Purdue University, West Lafayette, Indiana, Technical Report SERC-TR-83-P</i> (1990).",,
-1,Applying Interface-Contract Mutation in Regression Testing of Component-Based Software,ieeexplore,Applying interface-contract mutation in regression testing of component-based software,"Hou, Shan-Shan, Lu Zhang, Tao Xie, Hong Mei, and Jia-Su Sun",21," In <i>Software Maintenance, 2007. ICSM 2007. IEEE International Conference on</i>, pp. 174-183. IEEE, 2007.","Regression testing, which plays an important role in software maintenance, usually relies on test adequacy criteria to select and prioritize test cases. However, with the wide use and reuse of black-box components, such as reusable class libraries and COTS components, it is challenging to establish test adequacy criteria for testing software systems built on components whose source code is not available. Without source code or detailed documents, the misunderstanding between the system integrators and component providers has become a main factor of causing faults in component-based software. In this paper, we apply mutation on interface contracts, which can describe the rights and obligations between component users and providers, to simulate the faults that may occur in this way of software development. The mutation adequacy score for killing the mutants of interface contracts can serve as a test adequacy criterion. We performed an experimental study on three subject systems to evaluate the proposed approach together with four other existing criteria. The experimental results show that our adequacy criterion is helpful for both selecting good-quality test cases and scheduling test cases in an order of exposing faults quickly in regression testing of component-based software.",
-1,Weak Mutation Testing and Completeness of Test Sets,ieeexplore,Weak mutation testing and completeness of test sets,"Howden, William E",491, <i>IEEE Transactions on Software Engineering</i> 4 (1982): 371-379.,"Different approaches to the generation of test data are described. Error-based approaches depend on the definition of classes of commonly occurring program errors. They generate tests which are specifically designed to determine if particular classes of errors occur in a program. An error-based method called weak mutation testing is described. In this method, tests are constructed which are guaranteed to force program statements which contain certain classes of errors to act incorrectly during the execution of the program over those tests. The method is systematic, and a tool can be built to help the user apply the method. It is extensible in the sense that it can be extended to cover additional classes of errors. Its relationship to other software testing methods is discussed. Examples are included.",
-1,Systematic Structural Testing of Firewall Policies,ieeexplore,Systematic structural testing of firewall policies,"Hwang, JeeHyun, Tao Xie, Fei Chen, and Alex X. Liu",22," <i>IEEE Transactions on Network and Service Management</i> 9, no. 1 (2012): 1-11.","Firewalls are the mainstay of enterprise security and the most widely adopted technology for protecting private networks. As the quality of protection provided by a firewall directly depends on the quality of its policy (i.e., configuration), ensuring the correctness of security policies is important and yet difficult.To help ensure the correctness of a firewall policy, we propose a systematic structural testing approach for firewall policies. We define structural coverage (based on coverage criteria of rules, predicates, and clauses) on the policy under test. Considering achieving higher structural coverage effectively, we develop three automated packet generation techniques: the random packet generation, the one based on local constraint solving (considering individual rules locally in a policy), and the most sophisticated one based on global constraint solving (considering multiple rules globally in a policy).We have conducted an experiment on a set of real policies and a set of faulty policies to detect faults with generated packet sets. Generally, our experimental results show that a packet set with higher structural coverage has higher fault detection capability (i.e., detecting more injected faults). Our experimental results show that a reduced packet set (maintaining the same level of structural coverage with the corresponding original packet set) maintains similar fault detection capability with the original set.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation Testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation Testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Firwall Policy.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Firwall Policy</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Structural Coverage.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Structural Coverage</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Test Generation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Test Generation</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,Parallel Firm Mutation of Java Programs,,Towards measurement of testability of concurrent object-oriented programs using fault insertion: a preliminary investigation,"Ghosh, Sudipto",12," In <i>Source Code Analysis and Manipulation, 2002. Proceedings. Second IEEE International Workshop on</i>, pp. 17-25. IEEE, 2002.",,
-1,A Novel Method of Mutation Clustering Based on Domain Analysis,"C Ji, <a href=""/citations?user=HQWxCnkAAAAJ&amp;hl=en&amp;oi=sra"">Z Chen</a>, B Xu, Z Zhao - SEKE, 2009 - researchgate.net",A Novel Method of Mutation Clustering Based on Domain Analysis,"Ji, Changbin, Zhenyu Chen, Baowen Xu, and Zhihong Zhao",40," In <i>SEKE</i>, vol. 9, pp. 422-425. 2009.",,
-1,Mutation Testing Repository,ieeexplore,Efficient multi-objective higher order mutation testing with genetic programming,"Langdon, William B., Mark Harman, and Yue Jia",793," <i>Journal of systems and Software</i> 83, no. 12 (2010): 2416-2430.","Mutation Testing is a fault-based software testing technique that has been widely studied for over three decades. The literature on Mutation Testing has contributed a set of approaches, tools, developments, and empirical results. This paper provides a comprehensive analysis and survey of Mutation Testing. The paper also presents the results of several development trend analyses. These analyses provide evidence that Mutation Testing techniques and tools are reaching a state of maturity and applicability, while the topic of Mutation Testing itself is the subject of increasing interest.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.survey..QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">survey.</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,Constructing Subtle Faults Using Higher Order Mutation Testing,ieeexplore,Constructing subtle faults using higher order mutation testing,"Jia, Yue, and Mark Harman",125," In <i>Source Code Analysis and Manipulation, 2008 Eighth IEEE International Working Conference on</i>, pp. 249-258. IEEE, 2008.","Traditional mutation testing considers only first order mutants, created by the injection of a single fault. Often these first order mutants denote trivial faults that are easily killed. This paper investigates Higher Order Mutants (HOMs). It introduces the concept of a subsuming HOM; one that is harder to kill than the first order mutants from which it is constructed. By definition, subsuming HOMs denote subtle fault combinations. The paper reports the results of an empirical study into subsuming HOMs, using six benchmark programs. This is the largest study of mutation testing to date. To overcome the exponential explosion in the number of mutants considered, the paper introduces a search based approach to the identification of subsuming HOMs. Results are presented for a greedy algorithm, a genetic algorithm and a hill climbing algorithm.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.coupling hypothesis.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">coupling hypothesis</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.search based software engineering.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">search based software engineering</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,MILU: A Customizable Runtime-Optimized Higher Order Mutation Testing Tool for the Full C Language,ieeexplore,"MILU: A customizable, runtime-optimized higher order mutation testing tool for the full C language","Jia, Yue, and Mark Harman",104," In <i>Practice and Research Techniques, 2008. TAIC PART'08. Testing: Academic &amp; Industrial Conference</i>, pp. 94-98. IEEE, 2008.","This paper introduces MILU, a C mutation testing tool designed for both first order and higher order mutation testing. All previous mutation testing tools apply all possible mutation operators to the program under test. By contrast, MILU allows customization of the set of mutation operators to be applied. To reduce runtime cost, MILU uses a novel 'test harness' technique to embed mutants and their associated test sets into a single-invocation procedure.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing tool.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing tool</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.MILU.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">MILU</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
-1,Mutation Testing of Protocol Messages Based on Extended TTCN-3,ieeexplore,Mutation testing of protocol messages based on extended TTCN-3,"Jing, Chuanming, Zhiliang Wang, Xingang Shi, Xia Yin, and Jianping Wu",16," In <i>Advanced Information Networking and Applications, 2008. AINA 2008. 22nd International Conference on</i>, pp. 667-674. IEEE, 2008.","The critical requirement on reliability, fault-tolerance and security of network devices highlights the necessity of protocol robustness testing. Mutation testing of protocol messages is an important part of robustness testing, but related theory and practices are not well developed. This paper builds a NFSM model for mutation testing of protocol messages and proposes two types of Normal-Verification Sequence to enhance verdict mechanism. For single-field mutation testing of protocol messages, we propose the concept of compound anomalous test case to further simplify test sequences. As a standard test specification language, TTCN-3 reveals strong excellence in conformance testing, so we apply TTCN-3 to mutation testing and extend it according to test requirements. Using our method we test OSPFv2 sufficiently with a test system based on extended TTCN-3. The results indicate that our method has good capability of error-finding.",
-1,Formal Analysis of Coupling Hypothesis for Logical Faults,Springer,Formal analysis of coupling hypothesis for logical faults,"Kapoor, Kalpesh",14," <i>Innovations in Systems and Software Engineering</i> 2, no. 2 (2006): 80-87.","<h2 class=""Heading"">Abstract</h2><p class=""Para"">Fault-based testing focuses on detecting faults in a software. Test data is typically generated considering the presence of a single fault at a time, under the assumption of coupling hypothesis. Fault-based testing approach, in particular mutation testing, assumes that the coupling hypothesis holds. According to the hypothesis, a test set that can detect presence of single faults in an implementation, is also likely to detect presence of multiple faults. In this paper it is formally shown that the hypothesis is guaranteed to hold for a large number of logical fault classes.</p>","<h3 class=""Heading"">Keywords</h3><span class=""Keyword"">Software testing&nbsp;</span><span class=""Keyword"">Fault-based testing&nbsp;</span><span class=""Keyword"">Logical fault&nbsp;</span><span class=""Keyword"">Boolean specification&nbsp;</span><span class=""Keyword"">Mutation testing&nbsp;</span>"
-1,MUGAMMA: Mutation Analysis of Deployed Software to Increase Confidence Assist Evolution,ieeexplore,Mugamma: Mutation analysis of deployed software to increase confidence and assist evolution,"Kim, Sang-Woon, Mary Jean Harrold, and Yong-Rae Kwon",15," In <i>Mutation Analysis, 2006. Second Workshop on</i>, pp. 10-10. IEEE, 2006.","This paper presents a novel approach to unit testing that lets users of deployed software assist in performing mutation testing of the software. Our technique, MUGAMMA, provisions a software system so that when it executes in the field, it will determine whether users' executions would have killed mutants (without actually executing the mutants), and if so, captures the state information about those executions. In the absence of bug reports, knowledge of executions that would have killed mutants provides additional confidence in the system over that gained by the testing performed before deployment. Captured information about the state before and after execution of units (e.g., methods) can be used to construct test cases for use in unit testing when changes are made to the software. The paper also describes our prototype MuGamma implementation along with a case study that demonstrates its potential efficacy.",
-1,Assessing Test Set Adequacy for Object Oriented Programs Using Class Mutation,28 JAIIO: Symposium on Software Technology,Assessing Test Set Adequacy for ObjectOriented Programs Using,"Kim, Sun-woo, John A. Clark, and John A. Mcdermid",29," In <i>Class Mutation, 28 JAIIO: Symposium on Software Technology (SoST99</i>. 1999.",The object-oriented paradigm has seen widespread acceptance by the software development community but the testing of programs written in object oriented languages is less well developed than the testing of programs written in conventional ones. This paper introduces Class Mutation which is a form of OO-directed selective mutation testing that provides a means of assessing how good developed test sets are for OO programs. Experimental results are given for the application of three particular mutation operators for the Java language to assess test sets developed to satisfy a conventional criterion. ,
-1,The Rigorous Generation of Java Mutation Operators Using HAZOP,"S Kim, <a href=""/citations?user=xu3n6owAAAAJ&amp;hl=en&amp;oi=sra"">J Clark</a>, J McDermid - Informe técnico, The  …, 1999 - pdfs.semanticscholar.org",The rigorous generation of Java mutation operators using HAZOP,"Kim, Sunwoo, John Clark, and John McDermid",101," <i>Informe técnico, The University of York</i> (1999).",,
-1,Class Mutation: Mutation Testing for Object-Oriented Programs,Proc. Net. ObjectDays. 2000.,Class mutation: Mutation testing for object-oriented programs,"Kim, Sunwoo, John A. Clark, and John A. McDermid",151," In <i>Proc. Net. ObjectDays</i>, pp. 9-12. 2000.",,
0,Investigating the Effectiveness of Object-Oriented Testing Strategies Using theMutation Method,Wiley Online Library,Investigating the effectiveness of object‐oriented testing strategies using the mutation method,"Kim, Sun‐Woo, John A. Clark, and John A. McDermid",86," <i>Software Testing, Verification and Reliability</i> 11, no. 4 (2001): 207-225.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>The mutation method assesses test quality by examining the ability of a test set to distinguish syntactic deviations representing specific types of faults from the program under test. This paper describes an empirical study performed to evaluate the effectiveness of object-oriented (OO) test strategies using the mutation method. The test sets for the experimental system are generated according to three selected OO test strategies and their effectiveness is compared by determining how well the developed test sets kill injected mutants derived from an established mutation system Mothra and the authors' own OO-specific mutation technique which is termed Class Mutation. Copyright © 2001 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">object-oriented testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Java; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Class Mutation</span></li>"
-1,A Fortran Language System for Mutation-Based Software Testing,Wiley Online Library,A fortran language system for mutation‐based software testing,"King, Kim N., and A. Jefferson Offutt",397," <i>Software: Practice and Experience</i> 21, no. 7 (1991): 685-718.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>Mutation analysis is a powerful technique for testing software systems. The Mothra software testing project uses mutation analysis as the basis for an integrated software testing environment. Mutation analysis requires executing many slightly differing versions of the same program to evaluate the quality of the data used to test the program. The current version of Mothra includes a complete language system that translates a program to be tested into intermediate code so that it and its mutated versions can be executed by an interpreter.</p><p>In this paper, we discuss some of the unique requirements of a language system used in a mutation-based testing environment. We then describe how these requirements affected the design and implementation of the Fortran 77 version of the Mothra system. We also describe the intermediate language used by Mothra and the features of the language system that are needed for software testing. The appendices contain a full description of the intermediate language and the mutation operators used by Mothra.</p><p>The design and implementation techniques that were developed for Mothra are applicable for constructing not just software testing systems, but any type of program analysis system or language system for a special-purpose application. In particular, we discuss decisions made and techniques developed by the Mothra team that can be useful in such applications as debuggers, program measurement tools, software development environments and other types of program analysis systems.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Fortran; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Intermediate code; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Interpreters; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Mothra; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Mutation analysis; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Software testing</span></li>"
